lake_id,lake_name,lake_area (m2),lake_elevation (m),lake_juris_name,lake_max_depth (m),lake_utm_east,lake_utm_north,survey_date,benthic_sample,fish_presence,max_survey_date,ramurasi
70479,"SUNRISE LAKE, LOWER",29497,2822,YOSEMITE,5.4,284362,4187430,7/17/01,Yes,Yes,7/17/01,No
70481,,29802,2993,YOSEMITE,17.8,279024,4192210,6/29/01,Yes,No,9/14/16,No
70482,EDSON LAKE,29883,2483,YOSEMITE,6,277312,4167940,6/13/01,Yes,Yes,7/24/14,No
70485,,30362,3114,YOSEMITE,5,295174,4170460,8/6/01,Yes,Yes,7/31/14,No
70487,,31306,2330,YOSEMITE,1.25,264096,4214250,9/11/00,Yes,Yes,9/11/00,No
70490,RETURN LAKE,32624,3115,YOSEMITE,12.5,293899,4215370,7/23/00,Yes,Yes,7/23/00,No
70492,,32804,2709,YOSEMITE,18.5,262647,4218890,8/26/00,Yes,No,8/3/12,Yes
70494,,33050,2871,YOSEMITE,7.3,288454,4207850,8/7/00,Yes,Yes,7/24/11,No
70500,"MERCED PASS LAKE, LOWER",34203,2682,YOSEMITE,3,283857,4167160,7/3/01,Yes,No,8/1/08,Yes
70503,,34908,2835,YOSEMITE,11,280692,4205270,8/28/00,Yes,No,6/27/14,No
70504,HART LAKES,35463,2657,YOSEMITE,12.5,276818,4166710,6/10/01,Yes,No,7/24/14,Yes
70505,MILLER LAKE,35502,2879,YOSEMITE,11.5,287562,4207720,8/7/00,Yes,No,8/29/17,Yes
70506,,35503,2142,YOSEMITE,9,267651,4207770,7/11/00,Yes,No,7/11/00,No
70508,INFERNO LAKES,36013,2419,YOSEMITE,18,258090,4219070,7/28/00,Yes,No,6/26/10,Yes
70511,,37771,1969,YOSEMITE,1,254632,4210240,8/7/00,Yes,No,8/7/00,No
70512,,37961,2001,YOSEMITE,5.25,261796,4210920,9/7/00,Yes,Yes,9/7/00,No
70513,,38425,2884,YOSEMITE,17,277304,4196410,6/22/00,Yes,Yes,6/22/00,No
70514,INFERNO LAKES,38595,2432,YOSEMITE,15.9,258157,4219630,7/29/00,Yes,No,6/26/10,Yes
70517,,38976,2822,YOSEMITE,12,279602,4214030,8/24/00,Yes,No,8/24/00,No
70519,"TALLULAH LAKE, LOWER",39946,3004,YOSEMITE,14,284875,4212060,8/12/00,Yes,Yes,8/12/00,No
70520,,40212,2265,YOSEMITE,9.3,264229,4211560,9/9/00,Yes,No,8/5/12,Yes
70521,,40397,2716,YOSEMITE,7,271564,4219420,8/6/00,Yes,No,7/9/12,Yes
70524,,40988,2743,YOSEMITE,18,275257,4217820,8/20/00,Yes,No,7/11/14,Yes
70525,,41106,3078,YOSEMITE,19.5,282634,4206830,8/27/00,Yes,No,6/28/14,Yes
70528,,41508,2887,YOSEMITE,2.3,276509,4216670,8/22/00,Yes,No,7/12/14,Yes
70529,BIG ISLAND LAKE,41529,2739,YOSEMITE,5.5,263232,4219370,8/27/00,Yes,No,7/17/05,Yes
70530,,42048,2871,YOSEMITE,8,278293,4196940,6/22/00,Yes,Yes,6/22/00,No
70532,BEAR LAKE,42906,2710,YOSEMITE,8.1,263505,4219990,8/28/00,Yes,No,6/24/12,Yes
70533,TEN LAKES #1,43263,2737,YOSEMITE,17,278212,4198810,6/20/00,Yes,No,6/19/08,No
70534,,43428,2779,YOSEMITE,4.5,264355,4218730,8/25/00,Yes,No,8/4/12,Yes
70535,NEALL LAKE,44559,2797,YOSEMITE,15,280060,4207360,8/25/00,Yes,Yes,6/28/14,No
