"","coords.x1","coords.x2"
"148",-118.667184681001,37.2300940498527
"149",-118.736054024198,37.3762842597845
"150",-118.718155376837,37.4332358522602
"151",-118.691386776618,37.3319575957367
"152",-118.694383525918,37.3302022603275
"153",-118.687788082142,37.3224553409298
"154",-118.756051515207,37.3921217081968
"155",-118.757106645949,37.3918356484339
"156",-118.758440047932,37.3899231527732
"157",-118.747966369432,37.33383884636
"158",-118.743774026085,37.3336303434474
"159",-118.630757782206,37.2171718514425
"160",-118.744389795124,37.4547522469581
"161",-118.75448069756,37.4187324779921
"162",-118.72691454525,37.3835381881871
"163",-118.748901640758,37.4256648034423
"164",-118.748406570109,37.4233288334692
"165",-118.749924232634,37.4186197782784
"166",-118.751341225461,37.4183284084964
"167",-118.751966196844,37.4175080044932
"168",-118.743371983481,37.3396748480203
